Country/Region,Lat,Long,cases
Argentina,-38.4161,-63.6167,246499
Italy,41.87194,12.56738,250566
Bangladesh,23.685,90.3563,257600
Pakistan,30.3753,69.3451,284121
Saudi Arabia,23.885942,45.079162,288690
United Kingdom,55.3781,-3.436,310825
Spain,40.463667,-3.74922,314362
Iran,32.427908,53.688046,326712
Chile,-35.6751,-71.543,373056
Colombia,4.5709,-74.2973,387481
Peru,-9.19,-75.0152,478024
Mexico,23.6345,-102.5528,480278
South Africa,-30.5595,22.9375,559859
Russia,61.52401,105.318756,885718
India,20.593684,78.96288,2215074
Brazil,-14.235,-51.9253,3035422
US,40,-100,5044864
